ip.session_id,meta.direction,ip.pkts_per_flow,duration,ip.header_len,ip.payload_len,ip.avg_bytes_tot_len,time_between_pkts_sum,time_between_pkts_avg,time_between_pkts_max,time_between_pkts_min,time_between_pkts_std,"(-0.001, 50.0]","(50.0, 100.0]","(100.0, 150.0]","(150.0, 200.0]","(200.0, 250.0]","(250.0, 300.0]","(300.0, 350.0]","(350.0, 400.0]","(400.0, 450.0]","(450.0, 500.0]","(500.0, 550.0]",tcp_pkts_per_flow,pkts_rate,tcp_bytes_per_flow,byte_rate,tcp.tcp_session_payload_up_len,tcp.tcp_session_payload_down_len,"(-0.001, 150.0]","(150.0, 300.0]","(300.0, 450.0]","(450.0, 600.0]","(600.0, 750.0]","(750.0, 900.0]","(900.0, 1050.0]","(1050.0, 1200.0]","(1200.0, 1350.0]","(1350.0, 1500.0]","(1500.0, 10000.0]",tcp.fin,tcp.syn,tcp.rst,tcp.psh,tcp.ack,tcp.urg,sport_g,sport_le,dport_g,dport_le,mean_tcp_pkts,std_tcp_pkts,min_tcp_pkts,max_tcp_pkts,entropy_tcp_pkts,mean_tcp_len,std_tcp_len,min_tcp_len,max_tcp_len,entropy_tcp_len,ssl.tls_version,malware
6,1,1,2.2069449424743652,20,20,42.0,0.07104873657226562,0.07104873657226562,0.07104873657226562,0.07104873657226562,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.4531150645193839,0.0,0.4531150645193839,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3306.0,0.0,3306.0,3306.0,0.0,0.0,0.0,0.0,0.0,0,0,1
7,0,2,2.2369771003723145,40,44,42.666666666666664,29.857158660888672,14.928579330444336,29.857158660888672,0.0,21.11219935607704,2,0,0,0,0,0,0,0,0,0,0,2.0,0.8940636896404202,0.0,0.8940636896404202,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,40092.0,0.0,40092.0,40092.0,0.0,0.0,0.0,0.0,0.0,0,0,1
7,1,1,2.20699405670166,20,24,42.666666666666664,0.049114227294921875,0.049114227294921875,0.049114227294921875,0.049114227294921875,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.4531049809415863,0.0,0.4531049809415863,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,22.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0,0,1
8,0,1,2.206873893737793,20,24,42.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.4531296522368549,0.0,0.4531296522368549,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40092.0,0.0,40092.0,40092.0,0.0,0.0,0.0,0.0,0.0,0,0,1
8,1,1,2.207005023956299,20,20,42.0,0.010967254638671875,0.010967254638671875,0.010967254638671875,0.010967254638671875,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.4531027293301717,0.0,0.4531027293301717,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5900.0,0.0,5900.0,5900.0,0.0,0.0,0.0,0.0,0.0,0,0,1
9,0,1,2.207036018371582,20,24,42.0,0.030994415283203125,0.030994415283203125,0.030994415283203125,0.030994415283203125,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.4530963662015042,0.0,0.4530963662015042,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,40092.0,0.0,40092.0,40092.0,0.0,0.0,0.0,0.0,0.0,0,0,1
9,1,1,2.207068920135498,20,20,42.0,0.031948089599609375,0.031948089599609375,0.031948089599609375,0.031948089599609375,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.4530896116912413,0.0,0.4530896116912413,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,993.0,0.0,993.0,993.0,0.0,0.0,0.0,0.0,0.0,0,0,1
10,0,1,2.207036018371582,20,24,42.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.4530963662015042,0.0,0.4530963662015042,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,40092.0,0.0,40092.0,40092.0,0.0,0.0,0.0,0.0,0.0,0,0,1
10,1,1,2.2070839405059814,20,20,42.0,0.015020370483398438,0.015020370483398438,0.015020370483398438,0.015020370483398438,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.45308652817742245,0.0,0.45308652817742245,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,445.0,0.0,445.0,445.0,0.0,0.0,0.0,0.0,0.0,0,0,1
11,0,1,2.207036018371582,20,24,42.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.4530963662015042,0.0,0.4530963662015042,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40092.0,0.0,40092.0,40092.0,0.0,0.0,0.0,0.0,0.0,0,0,1
11,1,1,2.20709490776062,20,20,42.0,0.010967254638671875,0.010967254638671875,0.010967254638671875,0.010967254638671875,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.45308427674939805,0.0,0.45308427674939805,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1723.0,0.0,1723.0,1723.0,0.0,0.0,0.0,0.0,0.0,0,0,1
12,0,1,2.2070369720458984,20,24,42.0,0.00095367431640625,0.00095367431640625,0.00095367431640625,0.00095367431640625,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.45309617041576394,0.0,0.45309617041576394,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,40092.0,0.0,40092.0,40092.0,0.0,0.0,0.0,0.0,0.0,0,0,1
12,1,1,2.207102060317993,20,20,42.0,0.007152557373046875,0.007152557373046875,0.007152557373046875,0.007152557373046875,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.45308280843882803,0.0,0.45308280843882803,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,443.0,0.0,443.0,443.0,0.0,0.0,0.0,0.0,0.0,0,0,1
13,0,1,2.2070369720458984,20,24,42.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.45309617041576394,0.0,0.45309617041576394,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,40092.0,0.0,40092.0,40092.0,0.0,0.0,0.0,0.0,0.0,0,0,1
13,1,1,2.2071099281311035,20,20,42.0,0.007867813110351562,0.007867813110351562,0.007867813110351562,0.007867813110351562,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.4530811933081928,0.0,0.4530811933081928,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,199.0,0.0,199.0,199.0,0.0,0.0,0.0,0.0,0.0,0,0,1
