ip.session_id,meta.direction,ip.pkts_per_flow,duration,ip.header_len,ip.payload_len,ip.avg_bytes_tot_len,time_between_pkts_sum,time_between_pkts_avg,time_between_pkts_max,time_between_pkts_min,time_between_pkts_std,"(-0.001, 50.0]","(50.0, 100.0]","(100.0, 150.0]","(150.0, 200.0]","(200.0, 250.0]","(250.0, 300.0]","(300.0, 350.0]","(350.0, 400.0]","(400.0, 450.0]","(450.0, 500.0]","(500.0, 550.0]",tcp_pkts_per_flow,pkts_rate,tcp_bytes_per_flow,byte_rate,tcp.tcp_session_payload_up_len,tcp.tcp_session_payload_down_len,"(-0.001, 150.0]","(150.0, 300.0]","(300.0, 450.0]","(450.0, 600.0]","(600.0, 750.0]","(750.0, 900.0]","(900.0, 1050.0]","(1050.0, 1200.0]","(1200.0, 1350.0]","(1350.0, 1500.0]","(1500.0, 10000.0]",tcp.fin,tcp.syn,tcp.rst,tcp.psh,tcp.ack,tcp.urg,sport_g,sport_le,dport_g,dport_le,mean_tcp_pkts,std_tcp_pkts,min_tcp_pkts,max_tcp_pkts,entropy_tcp_pkts,mean_tcp_len,std_tcp_len,min_tcp_len,max_tcp_len,entropy_tcp_len,ssl.tls_version,malware
6,1,6,5.971590042114258,120,435,95.84615384615384,1.3992786407470703,0.23321310679117838,1.2021064758300781,0.0040531158447265625,0.4757806856289154,6,0,0,0,0,0,0,0,0,0,0,6.0,1.004757519803835,235.0,1.004757519803835,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,8080.0,0.0,8080.0,8080.0,0.0,39.166666666666664,93.51024899264608,0.0,230.0,0,0,1
7,0,7,5.971540927886963,140,551,95.84615384615384,11.256694793701172,1.6080992562430245,9.235858917236328,0.026941299438476562,3.3803779222741963,7,0,0,0,0,0,0,0,0,0,0,7.0,1.1722267475904178,319.0,1.1722267475904178,7.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,7.0,0.0,7.0,0.0,36581.0,0.0,36581.0,36581.0,0.0,45.57142857142857,120.5706668899435,0.0,319.0,0,0,1
7,1,6,5.9715471267700195,120,435,95.84615384615384,0.45490264892578125,0.07581710815429688,0.1628398895263672,0.0050067901611328125,0.06599019705095499,6,0,0,0,0,0,0,0,0,0,0,6.0,1.0047647406318587,235.0,1.0047647406318587,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,8080.0,0.0,8080.0,8080.0,0.0,39.166666666666664,93.51024899264608,0.0,230.0,0,0,1
8,0,7,5.971542119979858,140,537,94.76923076923077,1.3589859008789062,0.1941408429827009,0.8640289306640625,0.0011920928955078125,0.3003533731749826,7,0,0,0,0,0,0,0,0,0,0,7.0,1.1722265135799814,305.0,1.1722265135799814,7.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,7.0,0.0,7.0,0.0,43983.0,0.0,43983.0,43983.0,0.0,43.57142857142857,115.2791642678143,0.0,305.0,0,0,1
8,1,6,5.971553087234497,120,435,94.76923076923077,1.934051513671875,0.3223419189453125,1.7549991607666016,0.0059604644775390625,0.7029500005609409,6,0,0,0,0,0,0,0,0,0,0,6.0,1.0047637377328713,235.0,1.0047637377328713,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,8080.0,0.0,8080.0,8080.0,0.0,39.166666666666664,93.51024899264608,0.0,230.0,0,0,1
9,0,7,5.971473932266235,140,544,95.3076923076923,8.136987686157227,1.1624268123081751,6.788969039916992,0.0,2.4864414743674046,7,0,0,0,0,0,0,0,0,0,0,7.0,1.1722398991271203,312.0,1.1722398991271203,7.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,7.0,0.0,7.0,0.0,33303.0,0.0,33303.0,33303.0,0.0,44.57142857142857,117.9249155788789,0.0,312.0,0,0,1
9,1,6,5.971506118774414,120,435,95.3076923076923,0.7081031799316406,0.11801719665527344,0.5109310150146484,0.0030994415283203125,0.1948845191044788,6,0,0,0,0,0,0,0,0,0,0,6.0,1.0047716406311635,235.0,1.0047716406311635,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,8080.0,0.0,8080.0,8080.0,0.0,39.166666666666664,93.51024899264608,0.0,230.0,0,0,1
10,0,7,5.971473932266235,140,535,94.61538461538461,14.101028442382812,2.014432634626116,10.251998901367188,0.0,3.7250271117474485,7,0,0,0,0,0,0,0,0,0,0,7.0,1.1722398991271203,303.0,1.1722398991271203,7.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,7.0,0.0,7.0,0.0,44759.0,0.0,44759.0,44759.0,0.0,43.285714285714285,114.52323532179585,0.0,303.0,0,0,1
10,1,6,5.971503019332886,120,435,94.61538461538461,1.550912857055664,0.25848547617594403,1.3430118560791016,0.0040531158447265625,0.5324079677617075,6,0,0,0,0,0,0,0,0,0,0,6.0,1.004772162146591,235.0,1.004772162146591,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,8080.0,0.0,8080.0,8080.0,0.0,39.166666666666664,93.51024899264608,0.0,230.0,0,0,1
11,0,7,5.971472978591919,140,530,94.23076923076923,26.861906051635742,3.8374151502336775,15.198945999145508,0.0050067901611328125,5.621831401558991,7,0,0,0,0,0,0,0,0,0,0,7.0,1.1722400863397373,298.0,1.1722400863397373,7.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,7.0,0.0,7.0,0.0,43639.0,0.0,43639.0,43639.0,0.0,42.57142857142857,112.63341295674971,0.0,298.0,0,0,1
